,Equal Weight,Eligible Universe Equal Weight,Partitioning Selection,Density Selection,SPY
2021-08-20,18007.34285305134,19048.228517366704,14716.482362333352,24949.6975430986,14084.85696919258
2021-08-27,18548.611570141846,19549.57362536175,15203.048224889182,25702.537901172065,14303.58365914585
2021-09-03,18487.611158988977,19449.036638208265,15119.874142523386,25639.443155705354,14170.70698888664
2021-09-10,18381.22553183519,19394.15812239019,15251.25682128363,25799.048611040285,14113.582882101355
2021-09-17,18146.82851970832,19093.51881064936,14978.258166315556,25457.83010153007,14032.45799373709
2021-09-24,17757.4721112624,18715.075763902314,14395.348970520108,24938.181555384595,13587.910218176397
2021-10-01,18011.843235131746,19054.902902115333,14879.574777438114,25426.959593952342,13889.340619001508
2021-10-08,18080.600143981632,19146.545995088705,14871.405592803629,25297.04166211534,14010.929532781929
2021-10-15,18209.4761030367,19241.400177607426,15047.310867658392,25605.548579466984,14362.073261898859
2021-10-22,17937.359756159083,18948.521188872015,15032.133202152812,24954.256685669214,14511.838798511977
2021-10-29,18077.584528850402,19155.095683596413,15478.700216168692,25568.157751793387,14783.826014584145
2021-11-05,18075.363990776626,19112.65554672483,15310.94575447348,25334.486736820912,14684.40244968949
2021-11-12,17893.788497114056,18902.060158040633,14880.301958959742,24591.023711701997,14873.116053553857
2021-11-19,17578.27173621552,18607.825446108498,14654.463610967472,24006.567137027814,14863.932706709842
2021-11-26,17043.248345284574,17971.2792566993,14050.161956456266,23067.56282891723,14482.709935472361
2021-12-03,17510.502973264887,18499.235992237605,14545.051151851534,23674.951995661326,14766.09517826373
2021-12-10,17715.295095562953,18820.72038553235,14665.982999241847,23813.89973912254,14769.260037219847
2021-12-17,18043.471807318194,19116.552266319974,15069.071291341908,24376.54355073168,14953.010449702686
2021-12-24,18227.623144922112,19400.25160149449,15233.823170044207,24738.584341578306,15129.6788332873
2021-12-31,17807.67000641447,18977.3127091665,14603.293187663912,23466.11319659881,14868.490886834528
2022-01-07,17602.50660509871,18621.907069323795,14298.629281091975,23069.759142619725,14760.140585281491
2022-01-14,17464.250649400215,18242.790861047317,13948.158176252233,22383.56764356004,14195.193165636034
2022-01-21,16913.758208376334,17631.423429942028,13586.996663968848,21749.80621247474,13702.372788849834
2022-01-28,17268.291907373907,17963.88723180987,14010.514324648122,22407.857702370246,14190.42887291245
2022-02-04,17488.22382989622,18223.745906740234,14204.502898221754,22256.326517105317,14276.85394675744
2022-02-11,17267.011387646624,18068.915163799025,14323.28657176615,22246.527418342444,13887.299073709404
2022-02-18,16884.2227342406,17668.466618384282,13960.942207300172,21651.98402275435,13608.957406213136
2022-02-25,16873.719945346216,17738.633204040067,13999.04441599935,21787.170921900433,13844.404980752211
2022-03-04,16062.865599160861,16904.62368625616,13341.298856453262,20893.91938811397,13519.3540760931
2022-03-11,16442.72789379326,17299.66105717081,13715.737069150875,21325.05879618235,14014.715821223745
2022-03-18,16743.15645278344,17675.072893778706,14047.598595556878,21703.17330567645,14358.49617774495
2022-03-25,16896.637392518158,17890.486146619976,14200.004601862765,22048.780784278526,14395.153303459414
2022-04-01,17016.179093622974,18022.653056290223,14296.311493006262,22233.037729016956,14303.677440378366
2022-04-08,16843.52795911747,17895.227445549725,14115.440921986,21872.64609834412,13953.712675327148
2022-04-15,16758.013043347855,17956.92240141182,14200.212133054689,22079.21010871804,13962.314784642262
