,BF-B,BTI,BUD,CCOEY,CELH,CMG,DEO,DPZ,EA,GOOGL,KDP,KO,MCD,META,MNST,MO,MSFT,NTDOY,PEP,PM,PRNDY,QSR,SNAP,STZ,TCEHY,TPB,TTWO,UBSFY,UVV,YUM
PEP,0.0013509233788731908,0.0010972155520809941,0.0016970700729259383,0.0003595480273381338,0.0012078611350534519,0.0008902485058286567,0.0012399962347987854,0.0008861083267267022,0.0009891569168446078,0.0004395324961854097,0.0014817469418645871,0.001744260707635172,0.0016014478700800213,0.00026046570986132584,0.0018317188829728216,0.001125109436000686,0.000498664671804173,-0.0003481044493336544,0.0023214165602400737,0.0011745540549033887,0.0010276017636742494,0.0014521378725997306,0.0003688202635723735,0.0014000562869797455,0.0001873941195964554,0.00030988888207243606,0.0005616557573422061,0.0011013357181829941,0.0008368243026020643,0.0014633556164656033
PM,0.00025964451588146164,0.002430816488475932,0.0027770123852318804,0.0009239305256263292,0.00195912962858104,0.0009123220812801119,0.0005257067214998618,0.0009458093875105361,0.0015298548898966334,0.0008051656086373,0.0015245593300790786,0.0016167750320355131,0.0008469200418816027,0.0015300680389431344,0.002029184648785248,0.0025834829835329034,0.0005628183304300858,0.0005568836875323636,0.0011745540549033887,0.005025503301056855,0.0005041502395041875,0.0017065773474937037,0.001617781664118031,0.0011221384321879883,0.001198933837123041,0.0015977638819857282,0.0002720548467382851,0.0011660140865808362,0.0025090111777386574,0.0012403938252023687
PRNDY,0.0023729714313067934,0.0005153641582897102,0.002729798265095029,0.0015657704453910558,0.00337596574645253,0.002260603781615178,0.002704274572069221,0.0008681034458223888,0.0006184170355901252,0.0020090712135022817,0.0012704277367108934,0.0014816970741366859,0.001548735290586207,0.0029993808315885375,0.0013678522044856347,0.0005799433624630444,0.0018530880356834524,0.0010998799432198286,0.0010276017636742494,0.0005041502395041875,0.0038028645412784353,0.0020318196921750033,0.0020422648449554123,0.0017315747687821072,0.0014299123893039935,0.0013427570186418999,0.0007443141430268524,0.0006223214434351996,0.0006128235004236274,0.0020975011323518425
QSR,0.002155732408495979,0.001463315329784503,0.003735273732154121,0.001124846197863393,0.005704940279433307,0.0038005523097696388,0.0021502833608767462,0.00098627659775236,0.0019977196413237114,0.002335997551371309,0.0016422618706990386,0.002207351112628826,0.00239623596502868,0.0035848679845466268,0.0027506674997597536,0.001628920790105164,0.0017994018639567817,0.0006547754480626941,0.0014521378725997306,0.0017065773474937037,0.0020318196921750033,0.006242222902059794,0.005262186761815379,0.0036151797467944263,0.0009328263569858507,0.0017988869668184705,0.00062833309887636,0.001308501200018106,0.0024474483978114275,0.003427652568827666
SNAP,0.000931108285238656,0.0004020276571975047,0.0035381457340114444,-0.00026838134449619854,0.0016095041158762527,0.005943144974497741,0.0013111537106588911,0.0012992922551841226,0.0005272731732888454,0.005896402510345412,0.000839179018517062,0.0003838761959759893,0.0005552441401787229,0.0055521723601498155,0.0007748198076439674,0.0012122374860033128,0.004048616703802842,0.00019655178140157408,0.0003688202635723735,0.001617781664118031,0.0020422648449554123,0.005262186761815379,0.03481212461154936,0.0037056568621788764,0.0038361417256919162,0.004351087019157076,-0.00020898478642337423,-0.00019570120250027816,0.0027687012118000776,0.001863772253920424
STZ,0.0029081587093074367,0.00111817092130992,0.0024903371897248,0.0006993801098084852,0.004065519069847568,0.0031462176656779344,0.00220005581197297,0.0013215107181679291,0.0013213551091981887,0.0020934223782718923,0.001846357682196125,0.0016493494800221894,0.0018733991261918911,0.0029197054644247173,0.0019291507454182516,0.0016974965312850435,0.002080145408318359,0.0004688356087645841,0.0014000562869797455,0.0011221384321879883,0.0017315747687821072,0.0036151797467944263,0.0037056568621788764,0.0059374246833289535,0.001099620425253258,0.0012460469724465003,0.0009484077961463547,0.0024772966040350294,0.0013374458666873085,0.0023579522087370333
TCEHY,0.0007144591589639855,0.0009646417329651795,0.0026252305463653645,0.0011951119416668383,0.0021807167932938625,0.00017123348276847284,0.0008212012589512672,0.0006924304519689353,0.0016222875933437555,0.0028661295150335256,0.0009696157869624862,0.0002507414965301257,0.0002409022061232363,0.003990477741368026,0.0013211420029288967,0.0002948909348771386,0.00166061774568788,0.0011838732466715911,0.0001873941195964554,0.001198933837123041,0.0014299123893039935,0.0009328263569858507,0.0038361417256919162,0.001099620425253258,0.01000274570145343,0.002290416007232577,0.0019785815032370238,0.0047559924522091205,0.00044273279697819323,0.00033176171115335064
TPB,0.00016274907320404733,0.0018477049264934455,0.0012096762235999715,0.0012198692654829726,0.0030691080315231197,0.0028036535773023025,0.0010843569004689523,0.002348933618835312,0.001747057611187894,0.0021676612348346066,0.0010578266456511868,0.0005311193144450134,0.001000656822372387,0.004307168858028642,0.0019646281454453506,0.002593979462071597,0.0008826154292948506,0.0016268858730866611,0.00030988888207243606,0.0015977638819857282,0.0013427570186418999,0.0017988869668184705,0.004351087019157076,0.0012460469724465003,0.002290416007232577,0.015176528794205866,0.0021385718169619895,0.002589564742512577,0.002735874766308605,0.0012901540622770897
TTWO,0.001106087460181168,0.0004950415372678416,0.0017637393106639755,0.002402485544347747,0.005341582467815767,0.0015488565660886926,0.0006802457276619686,0.0015480125549194933,0.0031916413901755423,0.0017922255410961721,0.0010140260859286924,0.0007435587573070217,0.0006797813935174993,0.002680730564470773,0.0017764260289520896,0.0008865798132877717,0.0021224240469506087,0.003050648464101378,0.0005616557573422061,0.0002720548467382851,0.0007443141430268524,0.00062833309887636,-0.00020898478642337423,0.0009484077961463547,0.0019785815032370238,0.0021385718169619895,0.007570283526237832,0.003101881224879396,0.0007156799788475228,0.0007051228439344244
UBSFY,0.0010634954158468182,0.0013315922237027982,0.0019807963735145374,0.0028230198515398664,0.006220628612784246,0.0014539893907515706,0.001101542389390787,0.001046099599310572,0.003595103739932181,0.0013556587077652941,0.0004823937969419558,0.0007768550855591893,0.0005965126368109934,0.002057011107673994,0.0014354799741864233,0.0013361964790497205,0.0012595739148023595,0.0016406690520183829,0.0011013357181829941,0.0011660140865808362,0.0006223214434351996,0.001308501200018106,-0.00019570120250027816,0.0024772966040350294,0.0047559924522091205,0.002589564742512577,0.003101881224879396,0.01757434467337868,-0.00016425125389773318,0.0007599902728175772
