Date,DEO,BUD,STZ,BF-B,PRNDY,MNST,CELH,KDP,PEP,KO,META,GOOGL,SNAP,TCEHY,MSFT,PM,BTI,MO,UVV,TPB,NTDOY,EA,TTWO,CCOEY,UBSFY,MCD,CMG,YUM,DPZ,QSR
2017-08-12/2017-08-18,-0.006796784676354785,-0.008593282179919294,-0.0010154164243870204,-0.013719291519922407,-0.004721109547071502,0.02337028753948042,0.08338121612125313,-0.01937538263380586,-0.018499237222094157,-0.009860923896909412,0.004960566422660115,0.009900582138470377,0.1691327051448458,0.005225545994147318,0.009311155641634913,-0.012236849910333563,0.01902434886263785,-0.010946521957313524,0.002635423793154028,-0.015448874515527318,-0.0026726398873081728,0.011524126910046246,0.046305038763605234,-0.009633202317069012,0.0038834407687409356,0.0032878178187494556,-0.05163764774414755,0.009486124935588926,-0.02669972652609251,0.02882980814305715
2017-08-19/2017-08-25,0.01832047753487017,0.021346313674360365,0.016223018888683244,0.06002361869655111,-0.004378055016634278,0.01516274822993951,0.018770088681766536,0.012043633091547544,-0.004225012058898858,0.0030784898972329115,0.024904692022606416,0.019396726835752654,0.053503520767205034,0.0028390626934352956,0.028212531471138554,0.020825892238262547,0.005164801586300823,-0.003149040566071615,0.0035026805163527255,0.017216060993788355,0.012812969081971185,0.03075641470591949,0.026317317679551016,-0.07818304764840782,0.03278984667081118,0.009799854634602593,0.04782440343298138,0.007316369726225757,-0.005690070299292411,-0.008971749432414342
2017-08-26/2017-09-01,0.008666890640080263,0.023709258027005492,0.010489683635326656,0.02274129594359133,-0.0003656243145875443,0.009627475218960417,0.19464227541852064,0.011357827085476557,0.01780212910407047,0.01589859374755552,0.007184668657599744,-0.005616495614210389,-0.035115433885665556,-0.022215063221068435,-0.005767132636704663,0.016875445865281346,0.027155149655094985,-0.010624468878625793,-0.002626084361376085,-0.0011775781904636326,-0.01769102322681407,-0.021379281896865557,0.017335312478185778,-0.0261025818241232,0.034651477517385273,0.005477672221327338,0.0017035597935692363,-0.004566410424880622,0.005799032071916624,0.03287985786800519
2017-09-02/2017-09-08,-0.0048057176027625605,0.004363000142518524,0.010673969526175246,0.0025005241166990355,0.012720394313935778,0.003895900375649427,-0.01715293864331348,-0.005444584467885032,-0.024224957785065743,-0.0036801785778078832,-0.013074906630852126,-0.01032795278424136,0.0723043423186813,0.037686489674176094,0.005767132636704677,-0.01858728040988175,-0.013247192158538793,-0.0071992341400160765,0.013060665624389366,-0.01544024359615662,0.050999730251009505,0.002183975669868452,-0.0011061453256085258,0.016393783220029077,0.027868855616128493,-0.01830307225585614,-0.021216343237735157,0.008982536989696293,0.03531714791977319,0.0015842075355900229
2017-09-09/2017-09-15,-0.02347057728833878,-0.03988456876841058,-0.01657651350782169,-0.004066506626852734,-0.011258523575177419,-0.018012116435551923,-0.04240913367730449,-0.016775524876737776,-0.012247324589006542,-0.00759199658999904,0.0008767592331337443,0.00786149234854718,-0.005884302832748759,0.026625446782018575,-0.007517826968801576,-0.03318422350500207,-0.02069225271777657,-0.0019888099591436064,-0.012184949540220693,0.0005983058205046672,0.07947069133752807,-0.009864973051383594,0.02317245371560086,-0.04149970367596172,-0.00707212486054869,0.012847210268634142,0.008432089600776129,-0.008852192835312607,0.044361405363976675,0.03217900474112559
2017-09-16/2017-09-22,-0.0012148095435820412,0.01712050179587657,-0.008593043622827356,0.00774906393927948,0.0036457029245638315,-0.0016208946044302236,0.06634157150039338,-0.01281923992723285,-0.010336838962827501,-0.010851250077952488,-0.014006740035890529,0.018051576140380613,-0.10718368414159425,-0.03222381009944431,-0.004591503417274869,-0.00996789529376316,0.012882640029556563,0.04281046295028435,0.006111424514855001,0.035256315075397615,-0.012741876525725662,-0.012019090649527943,-0.008193144183924965,0.016807091085590323,-0.041295232267028296,-0.009730710625296561,0.010512169945743565,-0.03974345597663463,-0.0050624172059016495,-0.017842657731978472
2017-09-23/2017-09-29,0.008547401156132756,0.029640408671963728,0.04871818147075799,0.0022026484076517047,0.022666942576294685,-0.0014429658994851424,-0.07540800158060536,-0.004878238753492191,-0.010716440016047324,0.013491303329969357,0.014766330303742383,0.020903254366264584,0.059507650569958805,0.06080348057742249,0.02803109764063096,0.0071648117836458,-0.018082457108514412,-0.005937857408768627,-0.004361056237647536,-0.018648648843941122,0.04338342067407675,0.024648799589998858,0.03486915216352622,0.031175607086435485,0.06375229494932563,0.008283248182939327,-0.019717332622530864,0.014586918091946208,0.04456643375544664,0.007330656040555076
2017-09-30/2017-10-06,0.024477910339091313,0.01650522867010266,-0.008880239459532703,0.01184996851115074,0.024250024403402855,0.010057512140713432,0.0720242699478579,0.012768759630088167,0.017945555966080405,0.012877562722296693,0.0076208067150927115,0.020554842666987864,0.017047804661682472,-0.0159755709091643,0.015024189149265376,0.026453453311486838,0.04896060887375837,0.02384765648822872,0.05142520253381546,0.015757675408731547,0.005603378884210676,-0.02011402391964599,-0.009908202468390291,0.04501354367741738,0.07033364620433562,0.03167190668767747,0.012233592812767214,0.024241312618223272,-0.024518928344532523,0.024559975562150227
2017-10-07/2017-10-13,-0.0007353162101816492,0.010536546084456217,0.021842603900580373,0.010456301480475725,0.03681394307557409,0.0005359999018843028,-0.046842917050209494,0.002803517782749257,0.0019546697214995043,0.010356232964576845,0.011581504015894337,-0.0037957504984039796,0.10940910676306745,0.001787686932023807,0.01019213148191742,-0.057317639342797926,-0.015476980903130773,-0.015109777650397472,-0.042814622631250444,0.07580236584731728,-0.0060196882464695215,-0.03536270282697705,0.010769287900883075,-0.046630395316970386,0.012853635192119493,0.015677643179725042,0.03472138443081537,-0.007751637792154606,-0.07706234043513968,0.024711190645468038
2017-10-14/2017-10-20,-0.005014077345155947,-0.04490310051489773,-0.0011329015168249146,0.010170001300665485,-0.012460093654894453,0.013482523022736056,-0.11070358100829901,-0.03243161053602849,-0.017368263371590156,-0.007756994375885712,-0.022771016488899162,-0.010455282341899866,-0.05865683518863553,-0.006271033431907554,0.010850550351106368,-0.011344751469395871,0.03056615700588439,0.021820116341323484,0.004365031802916224,-0.026653565455233195,-0.02658379170709174,0.02411661560138522,0.008286182516806967,0.016847563685568723,-0.018041709300468316,-0.015067601509311815,-0.14445210932992944,0.0006597295419047803,-0.0023671928387784015,-0.033391518444204626
2017-10-21/2017-10-27,-0.0021457822102365328,0.004309266817564563,0.012111304174060228,-0.0071261252830006555,0.014466190741172827,0.012259361213312552,0.03700502572168437,-0.01303902694539556,-0.006159935755475619,-0.007599403936149328,0.04744139659494695,0.05068939837978708,-0.007742028298517038,0.044598295156747486,0.06500682890254227,-0.039389151829956885,-0.011218103708843926,-0.029148328316807772,0.026645024190125478,-0.010529257233255731,0.009151795545791873,-0.02748296215113095,0.028702944497073935,0.029010240690578157,-0.00980083466802839,0.024631573584347723,-0.007344351926316373,0.042322908451590396,-0.04173576174228878,0.001986211854057452
