,BF-B,BTI,BUD,CCOEY,CELH,CMG,DEO,DPZ,EA,GOOGL,KDP,KO,MCD,META,MNST,MO,MSFT,NTDOY,PEP,PM,PRNDY,QSR,SNAP,STZ,TCEHY,TPB,TTWO,UBSFY,UVV,YUM
KDP,0.3603852409357695,0.3020878619595944,0.36818490324024067,0.08334411201706007,0.1957758991588067,0.27438783492615615,0.39201589992293606,0.27721278011203493,0.1451753713018431,0.2170051304317568,1.0,0.558892452480255,0.3371224001875716,0.15615732453848113,0.3107265965958491,0.32791546890785367,0.21220527561587132,0.10467971520607801,0.497287256844849,0.3474454985124828,0.3325987647463231,0.3359061947564353,0.07534674366361943,0.3873931039377626,0.15528802749221024,0.13707793517711173,0.18897137150497806,0.05688192644097478,0.17730076389884855,0.33829125350328454
KO,0.39338836851602454,0.3699914938634091,0.5922290973557593,0.13809307353067177,0.23083523938687855,0.16905674495753223,0.49223015591860325,0.18444065863770642,0.23101129852807567,0.1290647682031324,0.558892452480255,1.0,0.682104382525453,0.12897777988816053,0.5084377849896742,0.366934682497614,0.13712621411904663,0.03694160772831477,0.7003495735202115,0.4410917626922453,0.4649682348705465,0.5403903770315511,0.04102816102412768,0.4151142762829098,0.04760773936685477,0.08262030377752486,0.16548978779525014,0.11277998856280196,0.33853770119331994,0.6362048657351127
MCD,0.4462531552881126,0.21671501630010043,0.4298929778977488,0.18096714705574285,0.21083382399352513,0.28292036834508966,0.5165570633736912,0.19317396420246252,0.20888628880279353,0.11713371801842634,0.3371224001875716,0.682104382525453,1.0,0.16270207495154784,0.5052515626066792,0.31156554180552937,0.19750533210014382,0.027790234041673093,0.6430557748353003,0.2305995135534523,0.4856898713036424,0.5867297578717133,0.05992602326669522,0.47082084901515897,0.04465032565658135,0.15566102638415205,0.15154544508603063,0.08537553472554898,0.26544061522369833,0.6905012714163676
META,0.15972568027739634,0.12336202641721042,0.261948222012652,0.23705190398871526,0.22387545684455926,0.5106477953428059,0.3757785532762742,0.29624610014096875,0.225819371334131,0.5706001391196031,0.15615732453848113,0.12897777988816053,0.16270207495154784,1.0,0.2445618899735802,0.19800913208067678,0.641007752924995,0.2385338503687768,0.045078928219800814,0.18120386958965673,0.40910793770319587,0.38150648795891884,0.25266766054328166,0.3190599057193154,0.33590724000144373,0.2945112616665915,0.2594130524254588,0.12982090675302055,0.09760515883832449,0.3016901423306557
MNST,0.34188159512348976,0.17919248688681452,0.4568142119135901,0.15558580946812808,0.46147894605149176,0.27412436226015113,0.3907935880692071,0.21466419444690163,0.4135762566917511,0.18827158203886338,0.3107265965958491,0.5084377849896742,0.5052515626066792,0.2445618899735802,1.0,0.3398886487922419,0.25589955911082984,0.024228382285843418,0.49214246322816435,0.3713993679864536,0.2899240777161828,0.45064993025133837,0.04846982361795353,0.3304999673125742,0.1766890238272867,0.21368398940670524,0.26251984779139176,0.14555908951331167,0.2173573520308885,0.49613699720849663
MO,0.15591177670479472,0.5181415890811887,0.28556198771215435,0.16929386630278384,0.2055009424115053,0.2503243336855736,0.21809038282557508,0.06529834576976297,0.28879314274036477,0.14455491077252003,0.32791546890785367,0.366934682497614,0.31156554180552937,0.19800913208067678,0.3398886487922419,1.0,0.12233980597112544,0.07424352879252201,0.3673194286913791,0.5724319807824954,0.15200716628552607,0.32435864577414036,0.09434993609018329,0.35434789214867946,0.05420455826379261,0.34051156033145424,0.15808878248071123,0.16567466653129323,0.3384152545319823,0.32221328034627206
MSFT,0.2965289559504289,0.08738722851346566,0.201370067218929,0.2628958678501891,0.2404843115207154,0.5375088548561142,0.376689714283789,0.29660098156118897,0.32168444478027963,0.6541345502969501,0.21220527561587132,0.13712621411904663,0.19750533210014382,0.641007752924995,0.25589955911082984,0.12233980597112544,1.0,0.2666247548920507,0.15348121416680227,0.11763390907836765,0.44647693485490203,0.3380859519337254,0.3244420076854279,0.4020583526421399,0.246806639833571,0.10601075953620749,0.36240184637472544,0.14082560506433497,0.07943787449177225,0.25590386174682506
NTDOY,0.2324183526184117,0.13522434780534137,0.17230721323213213,0.41351332626183845,-0.018080160914268287,0.10072891420315352,0.09646357963943487,0.24600048213733325,0.2281931480777799,0.15199095364483445,0.10467971520607801,0.03694160772831477,0.027790234041673093,0.2385338503687768,0.024228382285843418,0.07424352879252201,0.2666247548920507,1.0,-0.0924599170044677,0.08733788013945769,0.2029721930845264,0.09411383533431333,0.029946465021931618,0.0537660544221585,0.12433335706499762,0.1375050310897024,0.4227886888699746,0.13152899706296958,0.019232659341087543,0.08325368236683131
PEP,0.3840684520551773,0.3327391434040949,0.40595841345111694,0.08552814257383952,0.12734928990575795,0.17538046647140929,0.4501031914236648,0.23028390383316877,0.28226198263343294,0.10847050832546237,0.497287256844849,0.7003495735202115,0.6430557748353003,0.045078928219800814,0.49214246322816435,0.3673194286913791,0.15348121416680227,-0.0924599170044677,1.0,0.3431519896792534,0.34480656540860677,0.38094288885681254,0.04401045256842401,0.37613451433125333,0.03613387081208717,0.049039532081876024,0.1344353771604526,0.1704123365215102,0.20793493792141346,0.46735153296116216
PM,0.052716524896119624,0.5018852766476167,0.4514485523801336,0.14851126024781255,0.1404034210260138,0.1212566005311876,0.12899506496670113,0.167508842159603,0.2967086963289232,0.13503092367412176,0.3474454985124828,0.4410917626922453,0.2305995135534523,0.18120386958965673,0.3713993679864536,0.5724319807824954,0.11763390907836765,0.08733788013945769,0.3431519896792534,1.0,0.11343079990819678,0.30399674408762156,0.12623366082827595,0.20288195696986575,0.16647539231829928,0.18006873738877865,0.04459696683520467,0.12130738932798223,0.42509532144383594,0.26985120569663573
PRNDY,0.5291396495472867,0.11838733831835202,0.5097598100710488,0.28902079672612624,0.2784925085168618,0.34848200433641857,0.7677499398962184,0.1775461709476275,0.13749455697132906,0.3864656671883929,0.3325987647463231,0.4649682348705465,0.4856898713036424,0.40910793770319587,0.2899240777161828,0.15200716628552607,0.44647693485490203,0.2029721930845264,0.34480656540860677,0.11343079990819678,1.0,0.41626010849376244,0.18397608353698688,0.36084599099762354,0.22759364883727043,0.17136080627549313,0.13972158868685983,0.0710849865481543,0.11704037568034066,0.5248015648538872
QSR,0.37357716267353785,0.2703504198775806,0.5455361981999854,0.16155740258789314,0.3670445200224449,0.4596858342801487,0.4760646709487582,0.15650597033807548,0.3477348719737279,0.34951367311569265,0.3359061947564353,0.5403903770315511,0.5867297578717133,0.38150648795891884,0.45064993025133837,0.32435864577414036,0.3380859519337254,0.09411383533431333,0.38094288885681254,0.30399674408762156,0.41626010849376244,1.0,0.36114394294370006,0.5943385051468815,0.11594835583217512,0.18288982862121175,0.09179635584852454,0.12292606770528365,0.37216021696002116,0.6670539040999777
SNAP,0.06106873775947575,0.03917333277271314,0.22499338253081078,-0.021042826899249634,0.04443232765720773,0.3121912193548211,0.1259620889187385,0.0845144945858662,0.04019988520105378,0.37154893189545846,0.07534674366361943,0.04102816102412768,0.05992602326669522,0.25266766054328166,0.04846982361795353,0.09434993609018329,0.3244420076854279,0.029946465021931618,0.04401045256842401,0.12623366082827595,0.18397608353698688,0.36114394294370006,1.0,0.26964253566531476,0.21618745284003532,0.2019073144498283,-0.014068749374096497,0.0004554511711130715,0.1841586945383344,0.15128354312123224
STZ,0.5243337345660375,0.20631594401504944,0.3703761017742412,0.10801266078039622,0.2691569152814514,0.38729492001239896,0.4999628507318004,0.2179730616534685,0.23593525381906505,0.3249464544889903,0.3873931039377626,0.4151142762829098,0.47082084901515897,0.3190599057193154,0.3304999673125742,0.35434789214867946,0.4020583526421399,0.0537660544221585,0.37613451433125333,0.20288195696986575,0.36084599099762354,0.5943385051468815,0.26964253566531476,1.0,0.13413487884325692,0.12087702568447828,0.14352189423545025,0.2352855377776975,0.2051928063481821,0.4753058276365994
TCEHY,0.1051716174050875,0.13480230155318232,0.29994888113146423,0.14001507775401337,0.11091717777831779,0.010647804212084978,0.14193186433805366,0.08952910155846332,0.223034744673968,0.34216584025133295,0.15528802749221024,0.04760773936685477,0.04465032565658135,0.33590724000144373,0.1766890238272867,0.05420455826379261,0.246806639833571,0.12433335706499762,0.03613387081208717,0.16647539231829928,0.22759364883727043,0.11594835583217512,0.21618745284003532,0.13413487884325692,1.0,0.17684454931984664,0.22965202096586648,0.3529932647902799,0.04880697850613651,0.0540038064328451
TPB,0.02711633513441175,0.2128299834239023,0.10828030247683391,0.11813545375134094,0.12696429716175134,0.21264463964126223,0.15214246736487863,0.24267094460795066,0.1949965428687051,0.21211098486034394,0.13707793517711173,0.08262030377752486,0.15566102638415205,0.2945112616665915,0.21368398940670524,0.34051156033145424,0.10601075953620749,0.1375050310897024,0.049039532081876024,0.18006873738877865,0.17136080627549313,0.18288982862121175,0.2019073144498283,0.12087702568447828,0.17684454931984664,1.0,0.20231078102463165,0.14960628286117167,0.26372668864220983,0.16524805011935587
TTWO,0.17201064299341134,0.08472184746372098,0.2351161808129834,0.3097200702668073,0.31213208136237663,0.1714446844342673,0.13725183966694232,0.22146173589644114,0.5049878571190193,0.24251703075050943,0.18897137150497806,0.16548978779525014,0.15154544508603063,0.2594130524254588,0.26251984779139176,0.15808878248071123,0.36240184637472544,0.4227886888699746,0.1344353771604526,0.04459696683520467,0.13972158868685983,0.09179635584852454,-0.014068749374096497,0.14352189423545025,0.22965202096586648,0.20231078102463165,1.0,0.271247635794612,0.0997818846164532,0.12404486997325943
UBSFY,0.11682771884181835,0.14097436251817877,0.16871607311106546,0.24523932011819566,0.2391194780345126,0.10000417259899179,0.14371255720455256,0.101494654158232,0.3736123223567083,0.12369751644052308,0.05688192644097478,0.11277998856280196,0.08537553472554898,0.12982090675302055,0.14555908951331167,0.16567466653129323,0.14082560506433497,0.13152899706296958,0.1704123365215102,0.12130738932798223,0.0710849865481543,0.12292606770528365,0.0004554511711130715,0.2352855377776975,0.3529932647902799,0.14960628286117167,0.271247635794612,1.0,-0.019599953346529038,0.09110604421455878
UVV,0.08328464054697998,0.3129153637214748,0.358020764464052,0.03593510952619775,-0.021294765503628056,0.11195276411577654,0.13771926560728653,0.1334433204510746,0.2215867421142636,0.09601827757892847,0.17730076389884855,0.33853770119331994,0.26544061522369833,0.09760515883832449,0.2173573520308885,0.3384152545319823,0.07943787449177225,0.019232659341087543,0.20793493792141346,0.42509532144383594,0.11704037568034066,0.37216021696002116,0.1841586945383344,0.2051928063481821,0.04880697850613651,0.26372668864220983,0.0997818846164532,-0.019599953346529038,1.0,0.17901978886712533
YUM,0.4188423116930615,0.19715330924350669,0.5315746187863124,0.20095586872953694,0.29709158435636956,0.4319228507425402,0.5207176741244237,0.17425765115933614,0.2100236435380287,0.2593786469311956,0.33829125350328454,0.6362048657351127,0.6905012714163676,0.3016901423306557,0.49613699720849663,0.32221328034627206,0.25590386174682506,0.08325368236683131,0.46735153296116216,0.26985120569663573,0.5248015648538872,0.6670539040999777,0.15128354312123224,0.4753058276365994,0.0540038064328451,0.16524805011935587,0.12404486997325943,0.09110604421455878,0.17901978886712533,1.0
