Date,Equal Weight,Max Sharpe,Inverse Volatility,Minimum Variance,Risk Parity,Maximum Diversification,SPY
2020-04-10,0.019883021626006858,0.03481535240717726,0.013290220254353224,-0.005250724526502881,0.013125248391431033,0.013441126723603869,0.003235277790140684
2020-04-17,-0.01107681838923913,-0.02035007785729559,-0.011482304972820434,-0.01600085920177352,-0.01287491981372546,-0.01851837532653622,-7.191099779724208e-05
2020-04-24,0.03536187057075102,0.023479277847707758,0.03332580453070966,0.03504168938637853,0.0344867613689015,0.03608065647116421,0.040848682356834726
2020-05-01,0.0001437249209257363,0.01813122407472001,-0.0031790442796946206,-0.01628393538306483,-0.004575445483904761,-0.008565319181533249,-0.009639097866697992
2020-05-08,0.014524434071018444,-0.006656839631519973,0.0036141578464172763,-0.015086037462390123,0.005042435172509796,0.010675797312547086,-0.009420065332692375
2020-05-15,0.03875000966312281,0.02499800449586953,0.03673912157991066,0.03163828349411535,0.035318183357803346,0.03690708317486413,0.03477546060508584
2020-05-22,0.01700865979136612,0.015612844912692436,0.018535294310349393,0.03143544763695605,0.02082019734295959,0.02569300303371347,0.027434839462653727
2020-05-29,0.027327931344004464,0.020608060766809988,0.025398299964284776,0.02965772657886845,0.027836978265999734,0.03301636582681766,0.0276923222275846
2020-06-05,-0.016744488473963703,0.0024308983732144185,-0.021084024643169275,-0.031556232980853194,-0.021141423769132195,-0.019006697115640847,-0.034526034430359474
2020-06-12,0.03983014375748084,0.02403049380535549,0.03683666482840442,0.026102370776719175,0.03557878953719795,0.03639684926465714,0.03715780210318952
2020-06-19,0.00342989334612831,-0.00046354372031154334,-0.007087451127107847,-0.02592853581098531,-0.006200742307905127,-0.0025249925239129167,-0.009870494002964062
2020-06-26,0.010139618686032303,0.006332328939312903,0.011858211107768302,0.010063339910280078,0.009348593597031885,0.0030481841453957603,0.015877836949171154
2020-07-03,0.02891837669515973,0.027093516504914872,0.02052645707249523,0.0012363242821018527,0.020412886353228243,0.024469619296620504,0.006885682096664002
2020-07-10,0.015785738788858694,-0.005467690458315966,0.014816618327540665,0.028434340571403594,0.018504636282142606,0.02830218335277701,0.02038939623219051
2020-07-17,0.013498010946661365,0.018323475674634215,0.01325795779879968,0.020058235003217906,0.015045215920149069,0.02115358782223864,0.006764649612967342
2020-07-24,0.007843055298939472,0.016352213572601082,0.010478733967612452,0.010009854824001518,0.009201782042111306,0.006588830277904911,0.0030963056116024568
2020-07-31,0.0652677800940995,0.06456282976257288,0.040157449257379074,-0.0026447101478508372,0.04532401112254769,0.07320153157557674,0.03201007693956946
2020-08-07,-0.003667025419628156,-0.01591887009859838,-0.0008716747196645391,0.009131364660559305,-0.0006572478263232595,0.000881123832950248,0.007477316190820962
2020-08-14,0.01781244733447318,0.013745714410597909,0.014443076914484987,0.0022497126069440654,0.013304285820016304,0.013682096032184399,0.00430494732964767
2020-08-21,0.006497313876925093,0.031439387178955114,0.01216478308102964,0.010682922693001196,0.010090459021778075,0.002847586383760481,0.029709224303933128
2020-08-28,-0.012342664640666579,0.006802933698920821,-0.006119247255372828,0.009532360840583953,-0.004792445847206728,-0.002830411101483521,-0.008440182567775916
2020-09-04,-0.0077193756324669405,-0.026815498737899124,-0.014405424942730671,-0.012630257225994201,-0.011173610179224691,0.0014642900317101137,-0.03329551191604901
2020-09-11,0.017918915060458174,0.02506449568778213,0.010953285321300354,0.016572047350599473,0.01563365086367896,0.030194454718750707,0.005840027202247622
2020-09-18,-0.02867536493565659,-0.023610254151371413,-0.025731133952245244,-0.03049056261153016,-0.0279618416014078,-0.0382673597879295,-0.03288792320868947
2020-09-25,0.03591152061831493,0.02259859951767096,0.03233873132854925,0.024468290129961545,0.03058131552478538,0.02855638024342788,0.041854968861906094
2020-10-02,0.00026566273249306604,0.010916301002425355,0.004369575750033272,0.015265379091349063,0.00536679681310237,0.005283002156617034,0.019997540005754294
2020-10-09,0.018206638791830265,0.02135424271007147,0.014606477736097467,0.004007810079356355,0.014457530779258487,0.015380108846824392,0.010820778698585803
2020-10-16,0.005125821794127239,-0.004753942335315786,0.0011874492776313694,0.003772440184908632,0.0027735145446754483,0.00934715259411023,-0.008316621255787025
2020-10-23,-0.004419944467064729,-0.04158981100376746,-0.021633292965697826,-0.03443430042420936,-0.015243020052879919,0.0017874182110535486,-0.042453638884701175
