,Equal Weight,Max Sharpe,Inverse Volatility,Minimum Variance,Risk Parity,Maximum Diversification,Hierarchical Risk Parity,Eligible Universe Equal Weight,Partitioning Selection,Density Selection,SPY
2018-12-14,15537.511624254368,16212.80065908505,14845.575136572263,14077.658864716135,15122.074932148975,15595.235236670853,14992.983094442456,14963.803756646996,16311.075375652681,14988.236262270111,13359.748721330106
2018-12-21,14627.747014514376,15371.957308402709,14008.182976351785,13194.085096049173,14186.1323290984,14440.692123092618,14137.722262767868,13969.707224528476,15166.09621682629,13892.673123569113,12417.82329869783
2018-12-28,14983.346352972047,15782.262486418413,14293.330540939716,13447.507601020401,14529.031280314932,14870.075660311886,14406.10001590067,14346.659486839368,15595.500095033927,14393.097163396886,12781.537276144243
2019-01-04,15212.814793070667,15815.271816003398,14490.902266227593,13553.395858313093,14732.915921938225,15071.964889950688,14607.923707045904,14546.588477324061,15808.444707244502,14540.538887299304,13020.916921808162
2019-01-11,15637.067397363886,16401.926199373353,14811.260816182528,13698.923272145583,15085.779458067427,15495.104762556295,14879.067875584906,14972.508358905563,16239.562127955625,14993.528699819663,13360.897088927768
2019-01-18,16000.013413451772,16885.9162545042,15108.746135052224,13898.225268432363,15399.707214262113,15817.085537020663,15147.720062771372,15186.433996398053,16574.93108224904,15293.340803576239,13746.790840549675
2019-01-25,15986.124473194346,16822.177564714588,15108.008051445015,13907.879737100553,15387.185564547643,15803.023444580389,15149.739098506283,15185.773348457826,16612.55439599574,15299.582654131162,13711.71591022391
2019-02-01,16433.014340133082,17123.688019605775,15527.448571432064,14307.129170668411,15828.349029277171,16243.85845277547,15577.376040361101,15647.464553972824,17181.026048962118,15528.443315006001,13932.517520085685
2019-02-08,16464.521898201536,17033.66027076644,15587.87519170801,14425.79360492039,15894.056984829687,16322.917094798948,15688.192451163048,15792.54485245039,17484.384475923976,15730.89636484764,13953.673883137744
2019-02-15,16541.953479430857,17011.253095852775,15652.955295124148,14433.158992697441,15973.011265807063,16419.07812214096,15768.098980330687,15857.326880258885,17443.026261198193,15915.20349027583,14309.645839033039
2019-02-22,16563.73410970194,16949.675238256314,15674.558304011614,14464.13584196472,16001.402842028005,16420.17295153426,15798.230196236818,15871.77713160276,17554.795406542853,15860.368387932724,14400.958222562827
2019-03-01,16725.012884736647,16797.65530774322,15836.8973328214,14447.502103091843,16131.625245071593,16425.65333430561,15939.586436856622,16076.339680976333,17621.37184864927,16015.745820698878,14466.99331931654
2019-03-08,16800.025052297293,17024.693408685678,15884.330050941233,14507.639556706206,16200.89956452145,16497.949212954143,15967.49268229358,16075.788512150146,17722.675003433105,15972.00358282679,14159.519434999658
2019-03-15,17503.352290384522,18050.96714900515,16430.112766005677,15067.659128916232,16838.298943710088,17416.74886956974,16512.532278886873,16682.98768930247,18574.32721286321,16434.4776041717,14576.837099964427
2019-03-22,17448.565831828993,17900.226111945336,16409.474554878867,15030.480549694536,16787.99157944967,17273.75656891686,16485.206967584432,16641.075469551106,18540.89363228001,16361.55998738956,14470.093471842638
2019-03-29,17681.83803960294,18122.547228609707,16641.00514073154,15253.510433718404,17023.566561202053,17503.740148055764,16738.69763847272,16832.321428095813,18675.086379999724,16618.454259870363,14637.464749294673
2019-04-05,17708.429799352838,18007.92327398983,16696.566951851186,15287.240782143268,17042.543439088957,17513.73409103113,16780.95948803636,16799.792746732903,18662.090215062435,16575.63319245523,14953.032645230922
2019-04-12,17810.81335707473,18131.644183412478,16798.275319722838,15314.774217313367,17124.261826569567,17492.592010130098,16849.553227790188,16871.21171466418,18708.762612642196,16565.92635881286,15035.424720456125
2019-04-19,17842.199586924733,18080.786109548335,16855.995661740064,15329.74769193087,17143.063596243977,17416.117629582943,16911.82838193001,16820.09388967085,18514.221415769054,16571.463420272972,15028.168445199188
2019-04-26,18052.314828742885,18483.18247802262,17090.637270680923,15548.860112120565,17358.0490597048,17606.961647053282,17137.56533547915,17074.355955276482,18737.541635715294,16965.204035323226,15203.836128559835
2019-05-03,18495.117108100258,19358.937672532054,17359.222177793075,15872.088948772316,17758.923817110623,18298.89402347556,17422.475385562615,17329.32795739259,19007.01392951501,17152.062277551042,15235.955222287486
2019-05-10,18182.34423397067,19047.003825716376,17117.867048557022,15681.786439460566,17482.42462398583,17954.25673104057,17192.415312640373,17232.630670686485,18923.922300495742,17076.300617342047,14928.68021235917
2019-05-17,18159.317370965407,19043.541338230378,17107.819569628093,15744.814192874981,17487.175409849908,17974.70884144601,17226.66709828656,17269.839311989184,18908.55269809729,17172.32295179186,14811.574876603321
2019-05-24,18039.572664401763,18901.896988848726,16999.214826238935,15705.492952303888,17398.63815137911,17927.63866644966,17152.737062563025,17146.16432944393,18709.805455725458,17066.436886607047,14653.008630708517
2019-05-31,17618.634825493365,18742.006021333247,16579.10914639654,15345.121619912747,16978.732665439875,17504.79262828098,16696.044612534944,16723.009432778,18253.900212377335,16796.18608641455,14263.86337083117
2019-06-07,18302.577603222773,19445.49518497613,17251.81168489068,16071.461073658247,17685.37761273707,18289.372685598737,17419.84228232407,17379.0977651174,18810.189553311004,17579.94924439212,14905.360870337725
2019-06-14,18144.441808495827,19178.250088930632,17119.01974956239,15969.825197568209,17537.964030814583,18129.70812400163,17306.99988256591,17389.063498895284,18935.483433342197,17448.201982377046,14988.78779636358
2019-06-21,18342.095310634755,19438.633897084947,17345.185015641116,16076.339995383507,17718.176454668126,18211.844900395095,17485.296582297673,17594.043812209937,18991.35314425169,17643.167543694723,15308.49685545277
2019-06-28,18444.38873330633,19424.378727640455,17375.71710266511,16138.176001560003,17789.050329360885,18448.40878001828,17531.103700739324,17618.617158375127,19241.030102517794,17579.35703466813,15256.428724607149
2019-07-05,18812.864913685567,19843.441100303247,17724.968236977227,16405.964352911284,18148.213048559875,18787.599938563348,17866.326150470482,17945.08317954055,19439.65766278828,18002.19170149584,15540.731102731248
2019-07-12,18840.164298477444,19850.029301282768,17732.24473770329,16337.054402949278,18138.04165507388,18687.629235813212,17841.981284349476,17942.877396154454,19578.752593565398,17930.33788145303,15654.758285340267
2019-07-19,19013.22369883807,19808.590196443816,17845.419526233098,16336.795753131806,18266.83542829619,18836.862039933094,17943.000482158208,18080.408948443983,19842.211813399786,17768.918897097567,15473.562597957784
2019-07-26,19059.153109152277,19403.200138028937,17986.95657263676,16299.472888844984,18296.409923349845,18662.807403680243,18066.425567724564,18448.934434548206,20171.240731580805,18133.763317867862,15725.580447022156
2019-08-02,18810.159730054027,19021.258820597144,17717.38579188446,16074.727641684205,18046.771677474288,18487.951391560386,17825.08728263278,18185.928207841276,19861.96390220915,17947.56476169595,15236.639842970239
2019-08-09,18710.87104743237,19217.786763938588,17646.27074676603,16101.941593387523,17965.64419920644,18389.27199489653,17760.435548575333,18032.04597509732,19641.767992178746,17963.931091094255,15184.575232025301
2019-08-16,18582.811535517976,18764.760556151163,17563.175781629023,16043.660618110749,17859.465340703493,18201.952513776498,17699.38491908226,17879.328827008438,19444.029890728885,17734.22979951961,15040.347301560587
2019-08-23,18303.439908991593,18514.926431904714,17326.042403696818,15850.334117351069,17604.077995437256,17876.726481434183,17458.761253287536,17534.259355149985,18921.942673779937,17419.473533082957,14832.06245852572
2019-08-30,18587.3403489628,18842.06035347846,17612.62979995957,16193.660100596186,17889.06554589241,18206.443491887105,17757.09459562218,17836.780237736675,19171.402702403502,17777.860982119688,15227.796092505503
2019-09-06,18585.712908176487,18711.503516471017,17665.172083865375,16267.352524644419,17904.37962908516,18186.287106680586,17797.958228051506,17854.125095853946,19238.873635374515,17892.97029146938,15519.382905092001
2019-09-13,18327.914155792467,18124.92626229065,17449.66055907719,15942.817504160463,17651.674535151902,17921.29904881231,17554.62906397277,17756.106197462468,19070.075684434592,17703.00443599067,15677.676358683917
2019-09-20,18278.98690802276,18071.504519545706,17397.60230448105,15829.508535623198,17587.51813394181,17828.163659859267,17501.071438401064,17753.636073379217,19054.39652418912,17858.461551485452,15603.082623420752
2019-09-27,17990.053926692643,17567.770220340873,17176.54828596633,15697.197296160692,17345.154469739675,17527.044317248485,17331.427087866483,17537.653153094736,18920.31103690819,17686.30722764075,15452.429114260167
2019-10-04,18078.434580718415,17757.205766408348,17269.69205298861,15828.961346983755,17445.788016453418,17609.571306436905,17432.080983387285,17640.48935800534,18987.575507176185,17681.897859224435,15397.50282406037
2019-10-11,18003.91810290724,17709.928231324302,17208.830959116774,15755.172882957198,17373.53973676786,17534.979037960926,17361.99205909348,17645.7543570391,19022.29083515327,17747.264043966577,15498.458855484987
2019-10-18,17988.00499019301,17480.651033137754,17202.887944654994,15693.151602794635,17353.77210984257,17463.146628202696,17355.782917497007,17694.616452340055,19140.506744350678,17735.016888254093,15586.868200926896
2019-10-25,17769.308678280795,17340.697550148197,17001.403205361687,15513.456103050015,17140.212516731528,17249.216345934972,17131.22948319189,17625.599018627156,19081.460860619372,17634.675961027155,15776.747483293064
2019-11-01,17891.627495893626,17564.01397953439,17051.02374036919,15524.357154521029,17230.694662292164,17440.16227860983,17140.047181115082,17543.037641851075,19088.446381335467,17489.328350994714,16014.240462191172
2019-11-08,17943.81877766291,17866.771811984,17076.857605927235,15563.392323402735,17281.566985972022,17592.628201600877,17150.96493766221,17641.010078840736,19172.771286796036,17625.532154108194,16160.707049489944
2019-11-15,18025.85325164309,18114.78913823605,17174.857850404722,15560.61415011978,17348.64398241144,17515.466646077763,17208.152324785056,17795.813530704247,19194.558781222306,17785.74474110658,16309.788922995802
2019-11-22,18205.266384638988,18230.147095677,17288.6806602326,15696.986749917647,17502.46971272939,17835.915791317257,17330.681489558254,17965.71329428118,19496.007404336513,17815.59671570209,16266.374467978067
2019-11-29,18599.56010395912,18624.802175290668,17623.98747513443,16009.252409148363,17869.812912465004,18292.520698210323,17685.18675322572,18375.213580906366,20073.916758514522,18264.406064145274,16441.618003306474
2019-12-06,18597.807124336083,18442.08145121732,17606.46167615093,15829.912182331278,17818.008571004946,18077.38153544628,17632.15510483633,18312.067527163057,20062.942132705564,18233.111962137384,16470.905336935066
2019-12-13,18753.62705227138,18609.4755461697,17740.973083299043,15924.931082821731,17952.120844768622,18210.03271294609,17738.03233810159,18362.970470893822,20114.17754477049,18425.21514943537,16599.070200635273
2019-12-20,19057.34752441817,18763.688221562872,18043.204353480625,16140.086674568553,18241.408238714303,18463.70052338952,18017.902404542034,18662.429888382736,20415.463773058487,18721.590142090037,16859.930040214043
2019-12-27,19250.688477707194,19004.85379896351,18205.73204090041,16310.152641853996,18420.034001287422,18707.299035481043,18172.446908434333,18859.961727437207,20724.441033895477,18830.174223298407,16971.898080923806
2020-01-03,19294.03242698479,19023.39796205268,18206.77909623707,16264.588905754976,18434.493450853923,18760.27031764644,18156.76350020034,18882.97784732715,20719.05233488857,18845.037845718936,16948.247868238202
2020-01-10,19506.69053654025,19137.199870205826,18388.14087185752,16289.325910226844,18583.41264258009,18784.71341957643,18254.610371794442,19093.824349825794,20850.5416893906,18927.789473395344,17121.713853721954
2020-01-17,19867.073793302025,19499.4083619038,18743.46623498218,16629.07458785615,18921.686936140264,19090.103942046288,18648.388765818512,19548.28532879155,21386.760111984775,19362.441322418326,17449.738678173508
2020-01-24,19814.218857538515,19364.71612538737,18641.715819749435,16518.939866547447,18831.83680925159,19043.300234586877,18554.049440623163,19478.93481750389,21348.60898634642,19425.90766982819,17282.57507486174
2020-01-31,19313.706970165444,19171.180173091,18222.823011728764,16221.05867687994,18413.47492720623,18632.955697859827,18174.539395017684,18959.11498350227,20717.875747662754,18986.564583037394,16912.49975690691
2020-02-07,19563.946665225412,19584.177059329002,18494.021132916147,16313.395762331966,18632.44951994525,18651.355483234656,18456.59404373095,19088.455527091817,20785.290816533303,19154.839510200236,17462.883747272237
2020-02-14,19914.168092804164,19923.357425002578,18804.19685127164,16588.20547890941,18951.690499298085,19011.079072516386,18776.493685978912,19443.261393330737,21363.726796711962,19625.75349194565,17746.74085796
2020-02-21,20090.050418898198,19848.903230709562,18921.70432439776,16780.56761149042,19125.013111771597,19349.904968542418,18894.266738604467,19680.106020399682,21966.454713734525,20213.52030620175,17530.166648817885
2020-02-28,18167.781478300625,18129.888248510368,17051.138717515052,15108.109357594434,17276.820425922637,17603.966184050103,16942.370395576156,17723.026501475917,20085.383074501482,18514.428461693504,15573.608735055977
2020-03-06,18253.47789825687,18189.58276152359,17186.787960924805,15334.852667292844,17399.75810633371,17742.90948544281,17123.11630857274,17728.396658532518,19987.63936992908,18363.125526006384,15636.688875186741
2020-03-13,16247.678275960125,16486.820176629786,15310.834485612751,13480.545644149875,15452.039612693226,15605.538716294137,15080.41030604076,15805.983934351378,18009.83963088644,16441.16199199323,14157.44621349768
2020-03-20,14375.273379271997,15103.889674070057,13417.112815258512,11847.705788748073,13649.193755862332,14226.332176695165,13199.419782070017,13494.812826186118,15173.626102127511,14119.034221130823,12098.136238987914
2020-03-27,15988.544880871863,16588.200696753134,14937.886640199175,13200.18857401054,15174.238934133735,15667.889751435789,14733.315005240505,15060.621873144688,17046.406081875004,15641.182357103604,13399.957426801284
2020-04-03,15855.171962011253,16556.989307178377,14810.017821688853,12918.787484734612,15032.441904817939,15460.77028887777,14512.02373962297,14922.209785707406,16775.814273956534,15494.162969340849,13123.412029806204
2020-04-10,17506.378481956886,18144.256913325757,16405.612296905405,14528.94835177997,16652.875190723382,17193.851789494962,16249.064495857341,16733.01509779509,18747.737613995305,17329.07174809803,14710.23781592983
2020-04-17,17807.47747720292,18714.500939811587,16729.80126052423,14723.043229430023,16937.847045193947,17372.963588865146,16496.875474618595,16966.05042865855,19318.95271128714,17667.474701697985,15156.51458378455
2020-04-24,17811.04094197905,18603.63657602568,16606.91317719463,14550.45248919353,16851.55768206435,17445.07390900495,16322.654704889203,16986.576281769703,19450.284153196906,17656.042443004266,14962.455419357933
2020-05-01,17907.482066482546,18514.127059758364,16645.888884333173,14462.77715962344,16882.164950422448,17391.100046813433,16341.127606143753,17178.357590401713,19694.238152858,17889.372192280436,14952.942887763526
2020-05-08,18537.430856377094,19271.756242230575,17193.623927296154,14787.006574232495,17416.246562871213,17855.7745212214,16835.38559539051,17762.23545031412,20437.95730158219,18430.774664995643,15463.19121059685
2020-05-15,18384.102421723375,19111.53783729747,16955.004423119495,14469.552704038944,17194.949475719306,17772.76126376387,16541.317995150755,17673.910161247564,20773.8155594401,18624.535403753063,15137.477200943344
2020-05-22,19316.616930357024,19709.39243329737,17627.568265165406,14945.57980643413,17928.304716635892,18763.026541335897,17194.653707237667,18695.310642334633,22219.16787391347,19895.987257561042,15621.827854505305
2020-05-29,19716.426943715425,19954.231222191498,17992.222216008064,15296.699533726765,18308.73151817147,19135.188463735234,17573.963445253212,19074.75412816647,22470.7967579811,20230.412265002295,16091.36676599538
2020-06-05,20378.694862788172,20480.143279599466,18621.3408971931,15887.163676075414,18942.451156993462,19780.30480959675,18244.972387472284,19782.034678658692,23090.682330757445,20877.321065527394,16885.574276636264
2020-06-12,19797.621068298355,20260.437140353784,18064.682218718444,15383.707766393942,18381.617611348716,19249.1085731188,17628.655360216937,19038.88087844457,22348.86408148738,20109.40240337232,16085.558929869288
