Rebalance Date,Strategy,Turnover,Cost
2020-01-01,Risk Parity,0.08520197452480938,8.520197452480937e-05
2020-01-01,Maximum Diversification,0.19786728010614638,0.00019786728010614637
2020-01-01,Hierarchical Risk Parity,0.10212246020935432,0.00010212246020935433
2020-01-01,Eligible Universe Equal Weight,0.1297642642472114,0.00012976426424721142
2020-01-01,Partitioning Selection,0.4623691943574902,0.0004623691943574902
2020-01-01,Density Selection,0.3826161053299703,0.00038261610532997034
2021-01-01,Equal Weight,0.22064059661638266,0.00022064059661638266
2021-01-01,Max Sharpe,0.27342818490644794,0.00027342818490644794
2021-01-01,Inverse Volatility,0.14038333777075668,0.00014038333777075668
2021-01-01,Minimum Variance,0.38977689515031205,0.00038977689515031205
2021-01-01,Risk Parity,0.16864104444269484,0.00016864104444269486
2021-01-01,Maximum Diversification,0.4245569049062066,0.00042455690490620664
2021-01-01,Hierarchical Risk Parity,0.292931930276301,0.000292931930276301
2021-01-01,Eligible Universe Equal Weight,0.24550593915964197,0.00024550593915964196
2021-01-01,Partitioning Selection,0.5750062922124747,0.0005750062922124747
2021-01-01,Density Selection,0.5323501476705921,0.0005323501476705921
2022-01-01,Equal Weight,0.09683628537269577,9.683628537269578e-05
2022-01-01,Max Sharpe,0.23185435697072262,0.00023185435697072263
2022-01-01,Inverse Volatility,0.08471656522495119,8.471656522495119e-05
2022-01-01,Minimum Variance,0.07941943527837915,7.941943527837916e-05
2022-01-01,Risk Parity,0.09265553280886528,9.265553280886528e-05
2022-01-01,Maximum Diversification,0.12908185213969747,0.00012908185213969747
2022-01-01,Hierarchical Risk Parity,0.09705113829683609,9.705113829683609e-05
2022-01-01,Eligible Universe Equal Weight,0.07228309164194233,7.228309164194232e-05
2022-01-01,Partitioning Selection,0.43778090312059836,0.00043778090312059835
2022-01-01,Density Selection,0.20810064292630104,0.00020810064292630105
2023-01-01,Equal Weight,0.12278304827715994,0.00012278304827715995
2023-01-01,Max Sharpe,0.18229546642695338,0.0001822954664269534
2023-01-01,Inverse Volatility,0.09130677956978026,9.130677956978025e-05
2023-01-01,Minimum Variance,0.12028121514075941,0.00012028121514075941
2023-01-01,Risk Parity,0.10156265417357163,0.00010156265417357164
2023-01-01,Maximum Diversification,0.2175627527534746,0.0002175627527534746
2023-01-01,Hierarchical Risk Parity,0.1188475826945403,0.00011884758269454029
2023-01-01,Eligible Universe Equal Weight,0.12506291836629022,0.00012506291836629022
2023-01-01,Partitioning Selection,0.5587553668164021,0.0005587553668164022
2023-01-01,Density Selection,0.3811795457414421,0.0003811795457414421
2024-01-01,Equal Weight,0.1210931819661019,0.00012109318196610191
2024-01-01,Max Sharpe,0.13025849416204172,0.00013025849416204173
2024-01-01,Inverse Volatility,0.11562218044666744,0.00011562218044666744
2024-01-01,Minimum Variance,0.11181988964359037,0.00011181988964359037
2024-01-01,Risk Parity,0.11499540994476151,0.00011499540994476152
2024-01-01,Maximum Diversification,0.11510274674167639,0.0001151027467416764
2024-01-01,Hierarchical Risk Parity,0.1269918771077813,0.00012699187710778128
2024-01-01,Eligible Universe Equal Weight,0.12784511247231217,0.00012784511247231216
2024-01-01,Partitioning Selection,0.3976684433723442,0.0003976684433723442
2024-01-01,Density Selection,0.3206639485652002,0.0003206639485652002
2025-01-01,Equal Weight,0.12816015341152956,0.00012816015341152957
2025-01-01,Max Sharpe,0.11569245141893138,0.00011569245141893139
2025-01-01,Inverse Volatility,0.1097982662001719,0.0001097982662001719
2025-01-01,Minimum Variance,0.08751509932741926,8.751509932741926e-05
2025-01-01,Risk Parity,0.11538729602605742,0.00011538729602605742
2025-01-01,Maximum Diversification,0.1555655496274026,0.0001555655496274026
2025-01-01,Hierarchical Risk Parity,0.10640703420915984,0.00010640703420915984
2025-01-01,Eligible Universe Equal Weight,0.12323629848678312,0.00012323629848678313
2025-01-01,Partitioning Selection,0.37324668774254466,0.00037324668774254465
2025-01-01,Density Selection,0.32009161942789266,0.00032009161942789265
