,Equal Weight,Eligible Universe Equal Weight,Partitioning Selection,Density Selection,SPY
2020-07-03,10509.809476142567,10151.560965463566,9986.943689409245,10434.586719361947,9776.83982804439
2020-07-10,10621.585595618073,10408.286535769741,10185.75379143939,10596.418441656735,9976.183689197049
2020-07-17,10727.747505154968,10470.980679799739,10276.768255426347,10737.836394457567,10043.669076329066
2020-07-24,10807.832802143934,10542.935590671823,10369.61448986622,10840.36831544151,10074.767345251183
2020-07-31,11139.793479512811,10727.34989412037,10436.02398735871,11007.848564452563,10397.261423120935
2020-08-07,11048.439228031224,10728.114341383798,10431.406542204604,10977.008729316036,10475.005034300239
2020-08-14,11169.239764551008,10826.281316089786,10555.466984474415,11072.434623649962,10520.099379250694
2020-08-21,11404.16551339187,11000.46764272351,10734.838200503216,11245.197509316027,10832.643371408521
2020-08-28,11400.723624975215,10996.464928040508,10672.000415300574,11127.567802653093,10741.213883662225
2020-09-04,11146.356049825448,10731.453626406848,10413.788759444378,10796.233645065291,10383.57966880592
2020-09-11,11289.702068476448,10754.27511841707,10436.893464628834,10777.791351663822,10444.220056528453
2020-09-18,11094.395108453327,10572.993533026143,10333.421810810307,10654.60747677376,10100.73134933469
2020-09-25,11370.37082100891,10819.073849476568,10537.943950679219,10916.84661626376,10523.497145443573
2020-10-02,11478.973197951114,10923.210827465502,10585.812157107928,10870.120498648945,10733.941200610023
2020-10-09,11651.188027150354,11085.11312050337,10823.568343298617,11202.790142112814,10850.090802905457
2020-10-16,11600.636964663558,11032.258260922228,10722.938333254322,11152.924922413114,10759.854707106793
2020-10-23,11592.03463109145,11007.293688909675,10295.370779405279,10713.644407312155,10303.059720919427
2020-10-30,12052.880810122533,11470.822567502626,10949.278698490389,11448.112139521047,10935.646081583085
2020-11-06,12102.249111894113,11753.50198978869,11151.84685171734,11490.742012729905,11028.378200954434
2020-11-13,12233.397544223417,11815.250857175022,11366.157322637242,11655.296252891814,11171.069953173286
2020-11-20,12345.65802714584,11979.71298066807,11338.99158885167,11688.920999292443,11323.438691910522
2020-11-27,12541.383975508032,12125.485279813922,11425.207256517626,11793.61514188689,11449.266311287332
2020-12-04,12824.723977606152,12364.581414714872,11668.195956177213,11943.67020953951,11450.516384199665
2020-12-11,13324.4844446225,12784.587364853454,11966.314599467112,12319.46630741799,11622.558570501957
2020-12-18,13205.024922710823,12732.362329494525,11901.430323132327,12343.702965729923,11570.505864212617
2020-12-25,13271.621010943974,12785.561142769706,11980.723303313658,12436.823031675738,11723.522827073393
2021-01-01,13268.17357475621,12781.744433388028,11984.493069735072,12377.315904774088,11887.20302523829
2021-01-08,13212.403334206936,12604.941189443705,11770.457929174545,12221.593902193657,11867.137963735324
2021-01-15,13363.294611249554,12722.037604195888,11977.354638361341,12404.520619723653,12048.375863637564
2021-01-22,13261.70964820946,12624.537618536977,11928.846776031063,12397.027612197042,11841.11212587215
2021-01-29,13374.720174255264,12758.491954779634,12113.422156156385,12568.629193321249,12109.521227227402
2021-02-05,13775.464855983706,13169.767797639099,12524.258145205347,12944.143397253267,12251.252494735378
