rebalance_date,strategy,ticker,selected,cluster_label,trailing_pe,market_cap,available_date,value_rank,size_rank,sharpe_rank,base_score,adjusted_score
2020-01-01,Partitioning Selection,META,False,3,32.75023587523587,590093750000.0,2019-12-31,0.21739130434782608,0.9583333333333334,0.4166666666666667,0.3170289855072464,0.3170289855072464
2020-01-01,Partitioning Selection,MNST,False,2,15.64562550503368,17084835303.990717,2019-12-31,0.7391304347826086,0.25,0.25,0.4945652173913043,0.4945652173913043
2020-01-01,Partitioning Selection,MO,False,4,22.305787997379547,93238193829.04652,2019-12-31,0.5652173913043478,0.625,0.08333333333333333,0.3242753623188406,0.3242753623188406
2020-01-01,Partitioning Selection,MSFT,True,3,29.27587050852516,1203062622677.3328,2019-12-31,0.391304347826087,1.0,0.9583333333333334,0.6748188405797102,0.6748188405797102
2020-01-01,Partitioning Selection,PEP,True,3,15.36667272142982,190577475091.17264,2019-12-31,0.782608695652174,0.875,0.6666666666666666,0.7246376811594203,0.7246376811594203
2020-01-01,Partitioning Selection,PM,True,4,17.701479583247355,132389365803.10696,2019-12-31,0.6956521739130435,0.75,0.20833333333333334,0.4519927536231884,0.4519927536231884
2020-01-01,Partitioning Selection,QSR,True,5,29.47725183990061,18894918429.376293,2019-12-31,0.34782608695652173,0.2916666666666667,0.3333333333333333,0.3405797101449275,0.3405797101449275
2020-01-01,Partitioning Selection,SNAP,False,0,,22772772773.605347,2019-12-31,0.0,0.3333333333333333,0.4583333333333333,0.22916666666666666,0.22916666666666666
2020-01-01,Partitioning Selection,STZ,False,5,46.90272182351036,36208901247.75,2019-12-31,0.043478260869565216,0.5,0.16666666666666666,0.10507246376811594,0.10507246376811594
2020-01-01,Partitioning Selection,TPB,True,5,18.12641252298265,562335695.700491,2019-12-31,0.6521739130434783,0.08333333333333333,0.625,0.6385869565217391,0.6385869565217391
2020-01-01,Partitioning Selection,TTWO,False,5,41.56838859578399,13877066143.650742,2019-12-31,0.08695652173913043,0.20833333333333334,0.375,0.23097826086956522,0.23097826086956522
2020-01-01,Partitioning Selection,UVV,True,2,13.59318501381648,1415336016.8235855,2019-12-31,0.8260869565217391,0.125,0.5,0.6630434782608696,0.6630434782608696
2020-01-01,Partitioning Selection,YUM,True,0,26.725452281495983,30467015600.905422,2019-12-31,0.43478260869565216,0.375,0.7916666666666666,0.6132246376811594,0.6132246376811594
2021-01-01,Partitioning Selection,BF-B,True,3,41.15291551022514,37984141015.937805,2020-12-31,0.30434782608695654,0.375,0.75,0.5271739130434783,0.5271739130434783
2021-01-01,Partitioning Selection,BTI,False,1,11331688.691838074,9.067469018870957e+16,2020-12-31,0.043478260869565216,1.0,0.4583333333333333,0.2509057971014493,0.2509057971014493
2021-01-01,Partitioning Selection,BUD,False,3,97.64229574873238,118733031630.45856,2020-12-31,0.13043478260869565,0.7083333333333334,0.125,0.12771739130434784,0.12771739130434784
2021-01-01,Partitioning Selection,CMG,True,2,3.2712366925427854,776012581.9150772,2020-12-31,1.0,0.041666666666666664,0.9166666666666666,0.9583333333333333,0.9583333333333333
2021-01-01,Partitioning Selection,DEO,False,3,56.57844389817881,100504368463.53004,2020-12-31,0.21739130434782608,0.6666666666666666,0.16666666666666666,0.19202898550724637,0.19202898550724637
2021-01-01,Partitioning Selection,DPZ,False,2,32.23266389765211,15108287618.09088,2020-12-31,0.5652173913043478,0.16666666666666666,0.5833333333333334,0.5742753623188406,0.5742753623188406
2021-01-01,Partitioning Selection,EA,False,2,31.7010093391172,41655126271.6,2020-12-31,0.6086956521739131,0.4166666666666667,0.6666666666666666,0.6376811594202898,0.6376811594202898
