Rebalance Date,Strategy,Turnover,Cost
2020-01-01,Risk Parity,0.08415053366913533,8.415053366913533e-05
2020-01-01,Maximum Diversification,0.21864646068796117,0.0002186464606879612
2020-01-01,Hierarchical Risk Parity,0.09703616057295777,9.703616057295777e-05
2020-01-01,Eligible Universe Equal Weight,0.13435171871640758,0.00013435171871640757
2020-01-01,Partitioning Selection,0.2893495030633091,0.0002893495030633091
2020-01-01,Density Selection,0.3090067429203292,0.0003090067429203292
2021-01-01,Equal Weight,0.12305194555987112,0.00012305194555987112
2021-01-01,Max Sharpe,0.25146822416407666,0.00025146822416407665
2021-01-01,Inverse Volatility,0.08404683619023837,8.404683619023836e-05
2021-01-01,Minimum Variance,0.38576261874635115,0.00038576261874635114
2021-01-01,Risk Parity,0.10118622798510596,0.00010118622798510596
2021-01-01,Maximum Diversification,0.32073902720508224,0.00032073902720508227
2021-01-01,Hierarchical Risk Parity,0.20764950179360273,0.00020764950179360273
2021-01-01,Eligible Universe Equal Weight,0.11951553194695556,0.00011951553194695557
2021-01-01,Partitioning Selection,0.3945099633165919,0.0003945099633165919
2021-01-01,Density Selection,0.4577901678949568,0.0004577901678949568
2022-01-01,Equal Weight,0.094463566602244,9.446356660224401e-05
2022-01-01,Max Sharpe,0.25792120099796034,0.00025792120099796034
2022-01-01,Inverse Volatility,0.0829580943238411,8.295809432384111e-05
2022-01-01,Minimum Variance,0.08183474902660455,8.183474902660455e-05
2022-01-01,Risk Parity,0.09098047571096778,9.098047571096778e-05
2022-01-01,Maximum Diversification,0.12503294300831153,0.00012503294300831154
2022-01-01,Hierarchical Risk Parity,0.11105959429786794,0.00011105959429786794
2022-01-01,Eligible Universe Equal Weight,0.06798068371287846,6.798068371287846e-05
2022-01-01,Partitioning Selection,0.4340138944598575,0.0004340138944598575
2022-01-01,Density Selection,0.26915205941070525,0.00026915205941070524
2023-01-01,Equal Weight,0.1207532351750344,0.00012075323517503441
2023-01-01,Max Sharpe,0.23035685815849882,0.00023035685815849883
2023-01-01,Inverse Volatility,0.08954665883184558,8.954665883184558e-05
2023-01-01,Minimum Variance,0.11882825208785254,0.00011882825208785254
2023-01-01,Risk Parity,0.09926683491208219,9.926683491208219e-05
2023-01-01,Maximum Diversification,0.2196528761505756,0.0002196528761505756
2023-01-01,Hierarchical Risk Parity,0.1092796160474201,0.0001092796160474201
2023-01-01,Eligible Universe Equal Weight,0.12369983798521114,0.00012369983798521115
2023-01-01,Partitioning Selection,0.5350764081752948,0.0005350764081752948
2023-01-01,Density Selection,0.3728918584688433,0.0003728918584688433
2024-01-01,Equal Weight,0.12022166185440938,0.00012022166185440939
2024-01-01,Max Sharpe,0.12154413741028328,0.00012154413741028328
2024-01-01,Inverse Volatility,0.11473999066407709,0.00011473999066407709
2024-01-01,Minimum Variance,0.11187350816951679,0.00011187350816951679
2024-01-01,Risk Parity,0.11503171616808994,0.00011503171616808994
2024-01-01,Maximum Diversification,0.13161881196158617,0.00013161881196158617
2024-01-01,Hierarchical Risk Parity,0.13606100427534062,0.00013606100427534062
2024-01-01,Eligible Universe Equal Weight,0.12767087829716353,0.00012767087829716354
2024-01-01,Partitioning Selection,0.6210044904158949,0.0006210044904158949
2024-01-01,Density Selection,0.23970162113142413,0.00023970162113142414
2025-01-01,Equal Weight,0.12167454081779708,0.00012167454081779708
2025-01-01,Max Sharpe,0.1343689024823238,0.00013436890248232382
2025-01-01,Inverse Volatility,0.1072787200473202,0.0001072787200473202
2025-01-01,Minimum Variance,0.08761147730558333,8.761147730558333e-05
2025-01-01,Risk Parity,0.11231024768822281,0.00011231024768822281
2025-01-01,Maximum Diversification,0.14586650421388572,0.00014586650421388573
2025-01-01,Hierarchical Risk Parity,0.10662451636374702,0.00010662451636374702
2025-01-01,Eligible Universe Equal Weight,0.11627464922627861,0.00011627464922627862
2025-01-01,Partitioning Selection,0.5442350772725538,0.0005442350772725538
2025-01-01,Density Selection,0.3282117525004565,0.0003282117525004565
