,Equal Weight,Max Sharpe,Inverse Volatility,Minimum Variance,Risk Parity,Maximum Diversification,Hierarchical Risk Parity,Eligible Universe Equal Weight,Partitioning Selection,Density Selection,SPY
2021-08-06,27557.389265446112,25679.06855424105,24720.47763719734,19136.329270576225,24652.528196630417,23731.860984001833,23484.630003088612,28278.377808771507,28944.100285825716,28806.229435131012,23850.303199845006
2021-08-13,27589.734324807676,25561.594868603956,24808.40366869259,19180.02824070128,24686.730075681517,23524.110894097965,23518.15217089857,28283.400501377153,29090.378132394115,28820.04852273699,24035.178943391027
2021-08-20,27346.382344851405,25938.424836404767,24591.561931034237,18980.98255791452,24481.303661770075,23368.96603630323,23340.22300792601,28149.342107586115,29023.20352152431,28754.104548937357,23897.19531673704
2021-08-27,27708.814210026547,26230.27481320038,24876.779248779047,19205.986881026492,24807.394372203908,23784.802450192365,23628.013683869747,28430.30344435675,29327.01783738091,29011.631747781517,24268.567718093364
2021-09-03,28164.505122612743,26812.230253630616,25268.81415590054,19602.614599773122,25249.350787212927,24368.44773186446,24038.623026085326,28730.995246909722,29637.427703564157,29305.253853313887,24421.10437411908
2021-09-10,27859.207712088617,26440.142137784347,25001.885983923545,19399.877813541203,24977.32990856636,24018.204608781816,23770.30162602162,28300.306405700423,29193.44817148684,28867.23098351522,24009.30591342445
2021-09-17,27470.997118776282,26142.642081760096,24671.65415869493,19150.668167051983,24625.772388207162,23600.201713425842,23456.921731073027,27958.93616661269,28833.133797900744,28585.620441884268,23867.770706981835
2021-09-24,27474.649186653565,25934.279682616958,24613.568246588686,18992.662985958108,24556.40337430929,23501.632385538265,23343.520866376628,27978.631801194777,28688.64509888931,28696.254910369353,24003.491037496988
2021-10-01,26807.308061125877,25277.44181455818,24069.328937527538,18712.595389357426,23990.318221105164,23022.340385201576,22824.987594622402,27398.16990613676,28150.943926563094,27803.623516632346,23480.60979111423
2021-10-08,27071.961996589533,25778.260145585467,24367.576420816065,19270.88464530701,24299.8599226234,23512.53419736666,23167.690010530627,27681.641731277672,28447.393602601933,28053.304886840517,23676.351468067078
2021-10-15,27258.600444262578,26281.39266892323,24529.79160902729,19353.332562673007,24460.791877391406,23642.179199026268,23293.858060926515,27852.771770756903,28845.73946476459,28149.042587530243,24109.477006996873
2021-10-22,26927.612423894247,26545.575485628873,24406.817794599952,19366.208056107796,24306.25528439642,23231.42673064486,23192.914433907586,27371.47050065016,28867.06515607832,27308.428082620205,24501.502425607665
2021-10-29,26648.566972362274,26386.29650973837,24311.389677967865,19436.59895549791,24126.34002990727,22739.913507747668,23163.58593062163,27233.831114320903,29014.456776518367,27606.029584586096,24832.971472877027
2021-11-05,27267.858063019332,26791.90769045281,24869.7947049861,19809.002162388795,24667.213305325018,23207.575487824663,23665.888340051682,27933.554524750383,29707.3924360249,28298.071722595712,25334.766754221368
2021-11-12,27341.72255908005,27099.09808919902,24906.06698000992,19841.286564323527,24737.669716293334,23381.037407685795,23725.424552311113,27925.336647372795,29713.65312500117,28398.462004615354,25266.63555661124
2021-11-19,27057.180543486513,26604.027442012153,24733.923823468427,19780.538948620026,24506.26598171581,22917.078076658287,23568.437804404868,27621.510543027798,29461.268498351084,28038.426865075446,25354.238844796862
2021-11-26,26468.924933633283,25736.176702180393,24200.104943318547,19362.929288445877,23965.322537377295,22431.104801523346,23050.35128938181,27107.364298421337,28718.74191344703,27308.6596658776,24817.832380041666
2021-12-03,26095.49197501154,25296.467836191776,23920.468329140636,19315.041347507773,23682.987600947785,22197.183996355845,22806.390295556488,26752.11866195963,28411.80459154075,26795.674432506024,24517.729167753903
2021-12-10,27152.66716362462,26170.259843303404,24887.656554506793,20001.840577719748,24599.6641545471,22900.484395654345,23670.8003680342,27861.46977867859,29629.476517647152,28101.05656034871,25454.270902292326
2021-12-17,27035.555952605187,25465.957016485398,24819.535018632454,19942.89250241631,24511.7802132528,22823.270882425688,23598.221482405588,27883.999217533892,29575.136354806913,27795.342124903204,24953.8589419162
2021-12-24,27677.90256473309,26310.414874250844,25372.364755459777,20463.508980791587,25099.99891688052,23514.024437671018,24156.9566265248,28433.152336754276,30201.6063828563,28552.543191955385,25536.099793408335
2021-12-31,27883.634321008405,26171.362292278303,25598.338716958893,20593.797342706857,25272.875280438726,23553.98059877272,24355.498104060032,28787.7858738708,30490.447741012656,28814.308937814174,25772.688157831046
2022-01-07,27254.751024499623,25025.082901808517,25089.61726496039,20292.29241608577,24762.413364472573,23107.542431180245,23856.440489491266,28174.027287817433,29646.752496239675,28189.27970445127,25291.37341860773
2022-01-14,27269.974616578806,24739.85109562395,25139.182888166477,20343.84866523561,24821.665190018826,23194.224055132945,23920.34403689441,28049.622501505284,29426.068690530814,27999.27947261456,25217.02959629302
2022-01-21,26730.246079468336,24028.375705934744,24663.912117662403,20118.003568052725,24430.439972526674,22985.421319571145,23582.443804355335,27090.505691259164,28103.7199830568,26756.040461658034,23766.049097158775
2022-01-28,26583.973482858608,24373.857850609344,24563.60203084256,20098.275972741787,24329.98808215185,22875.638649768036,23489.536364829357,27011.377833272072,28192.56861007619,26879.23219889691,23981.472298777717
2022-02-04,26979.407613097865,24981.957666139588,24828.44125684369,20386.901712933184,24664.976261513246,23450.491558342586,23795.06454696755,27198.631992608287,28721.897933148917,26490.08864330934,24347.74084414444
2022-02-11,26876.89757818122,24571.5321568556,24675.934143631104,20162.33570198555,24527.60199509794,23471.95776643694,23598.717027744464,27230.93665641804,29049.056618766284,26393.991846931207,23900.618420150757
