,Equal Weight,Max Sharpe,Inverse Volatility,Minimum Variance,Risk Parity,Maximum Diversification,Hierarchical Risk Parity,SPY
2020-12-04,14946.981405850513,13568.097809772853,13221.81626343643,11226.197583850533,13553.991249027311,15303.80012467468,12055.659789146694,11450.516384199665
2020-12-11,15676.1551840885,14372.614440514722,13725.367575978706,11596.77856032592,14150.951881062596,16299.063170908934,12469.700691487726,11622.558570501957
2020-12-18,15860.030908268445,14286.878130817822,13774.23160447918,11502.679317537204,14207.61031245548,16459.58981971543,12428.779920208166,11570.505864212617
2020-12-25,16356.2605737812,14391.590488780364,14088.435068663272,11571.838688999467,14540.028591223287,16972.35472429903,12584.796122129543,11723.522827073393
2021-01-01,16415.582969448424,14455.960286380296,14086.130929670497,11482.246249324506,14551.075186895441,17112.306592536574,12533.728663166181,11887.20302523829
2021-01-08,16441.02557003502,14820.891454453737,14025.195659992693,11392.816549418381,14534.445474310798,17179.374532649228,12448.93288070891,11867.137963735324
2021-01-15,16602.999996890343,14904.975109466126,14192.21543413626,11355.20558446305,14639.581195937135,17028.163782603573,12546.47394453709,12048.375863637564
2021-01-22,16404.849391926396,14862.941270536525,14054.799645987014,11325.946231039261,14524.904533749024,16957.541739441498,12466.40915680598,11841.11212587215
2021-01-29,16574.572344580392,14830.883432467814,14201.999690426928,11362.661361381346,14644.782103029376,17003.189951386757,12552.974720314605,12109.521227227402
2021-02-05,17104.38198775537,15798.286616631545,14557.392690617584,11774.254139994935,15155.985036546579,18024.49571539286,12871.661480836205,12251.252494735378
2021-02-12,16997.210603429157,15420.817758910185,14508.812178054164,11803.710040218715,15108.070620320465,17973.12359955729,12848.787319970696,12251.567847011698
2021-02-19,16361.445492059855,14806.528201486237,13958.208002336021,11343.428776964463,14534.895431072378,17329.880325606944,12329.154836185742,11988.485725775032
2021-02-26,16041.024044430997,14157.432473702476,13708.28455299222,11135.241141525681,14251.505839508865,16925.76002244999,12072.501099587585,11811.948223690719
2021-03-05,16437.024049120366,14106.691995481178,14141.954076799215,11469.170570220607,14621.871674971168,17205.952408522364,12477.248062814651,12339.67686078971
2021-03-12,16548.704816630205,14128.644033411809,14223.516857586603,11693.86921476358,14782.585668983453,17586.053073677274,12592.205317207574,12275.396524570595
2021-03-19,16552.60204111747,14292.322793010191,14251.677823672986,11756.379539928585,14788.69215699708,17536.867525696412,12654.588421767752,12259.607268931819
2021-03-26,16854.232918280013,14446.316111823882,14534.718369328002,11842.862245215943,15012.895243237634,17596.63872322238,12868.58301839101,12602.822876932036
2021-04-02,17349.48531689581,15115.420757410813,14942.862527954736,12106.421860924136,15432.513759250143,18055.579705733962,13221.07887094089,12851.661587021681
2021-04-09,17613.366653327743,15489.777079463496,15125.542848644129,12245.099988493152,15648.734014186331,18372.814099776027,13379.579882077369,13082.887975535274
2021-04-16,17486.024542106825,15166.815011282508,15058.75820203,12274.866098176644,15542.653011775032,18231.8702719078,13335.726959234269,12969.633224691399
2021-04-23,17622.37374445631,14995.135662181452,15186.477634361914,12273.175040261613,15634.00177487854,18205.91339402829,13417.486466735116,13214.699043658171
2021-04-30,17538.871132850665,14589.657996095311,15149.477140863084,12351.603349006144,15618.001387849883,18249.145092205177,13418.414352858237,13183.554399401304
2021-05-07,17139.298666941475,14166.586179335576,14848.08809581191,12183.351352883155,15275.621530613702,17832.472138607525,13176.311607091176,12907.03064502734
2021-05-14,17536.035975637373,14572.322261590507,15180.580901737289,12376.630721273783,15583.1218048532,18149.909358904344,13453.504678291109,13064.328566567283
2021-05-21,17785.95271393291,15186.449915043804,15342.887975151154,12424.88212920259,15752.390588989396,18336.662031748012,13579.183298237404,13190.476691035383
2021-05-28,17847.70647568078,15378.213743855309,15346.767445690259,12462.778989254144,15792.56841364865,18498.67339254186,13598.462284843514,13174.120625749629
2021-06-04,17828.72099873613,14986.360396608401,15393.10469149422,12506.949186613336,15812.790996711614,18337.44774751522,13612.794883845456,13326.382185935434
2021-06-11,17726.839143350797,15036.865164874855,15272.46248352751,12432.654859286942,15714.882820226461,18270.739468303032,13503.883677787739,13274.787049615656
2021-06-18,17767.005373664782,15346.524952568312,15286.093717748035,12369.824845801595,15706.973198397052,18212.98268499568,13497.401098211372,13417.006803983028
2021-06-25,17924.311846041524,15432.286576161545,15403.6582917477,12488.701124152383,15859.171550400548,18453.663240701608,13617.470270832302,13585.231784953681
2021-07-02,17745.547571581443,15438.238122236578,15253.608522454711,12450.003695003508,15730.952387664365,18345.858259981138,13520.089311372256,13600.698474375178
2021-07-09,17818.72763460539,15076.08312982148,15400.173904024283,12641.352758690377,15842.353544859405,18336.910937490804,13683.634831415617,13721.581452504366
2021-07-16,17860.901063061607,15275.020970325948,15442.725449764699,12623.090234896295,15840.09083665123,18197.028388632178,13740.654225320475,13743.98898369384
2021-07-23,18256.651825299807,15901.274177101539,15707.46852579573,12869.287841532328,16203.81111926866,18801.03178946338,13926.597705315746,13907.795941107059
2021-07-30,18110.862806244037,16098.81053853047,15552.479618113355,12739.624776759134,16069.460753809302,18692.948769658873,13794.776092961674,13942.833021794164
2021-08-06,18044.815942013913,15781.024585297024,15514.013962956245,12622.913278399177,15991.564835196585,18459.93959241272,13724.662605448368,14048.560540526192
2021-08-13,17784.21155707332,15333.194471604442,15358.559438714701,12543.281083303276,15789.230184766808,18100.196231721387,13631.150953721752,13882.861469455063
2021-08-20,18007.34285305134,15883.158984396858,15493.127584464277,12485.574044858417,15939.522247408011,18287.052887798236,13709.401937574814,14084.85696919258
2021-08-27,18548.611570141846,16698.986136211384,15910.00454023717,12796.43118388837,16388.223332811223,18878.383897798427,14077.726800361754,14303.58365914585
2021-09-03,18487.611158988977,16976.912679365163,15820.2220405283,12731.562941882275,16334.24996133358,18888.136823414934,13996.585875497933,14170.70698888664
