Date,SPY
2023-11-17,14855.59904417336
2023-11-24,14900.654232373246
2023-12-01,14960.402158699939
2023-12-08,15410.296541440563
2023-12-15,15495.392197792287
2023-12-22,15626.188174844943
2023-12-29,15317.721058103889
2024-01-05,15615.044696036979
2024-01-12,15619.630701835134
2024-01-19,15997.91949921231
2024-01-26,16036.27396613139
2024-02-02,16335.233107705302
2024-02-09,16456.194421087897
2024-02-16,16636.158563675373
2024-02-23,16655.17039175725
2024-03-01,16875.78406528908
2024-03-08,16880.374193339638
2024-03-15,17171.218681058574
2024-03-22,17199.826082171152
2024-03-29,16871.003283064896
2024-04-05,17033.11188936949
2024-04-12,16425.446540415156
2024-04-19,16555.98796838194
2024-04-26,16606.62777802457
2024-05-03,17104.466017336366
2024-05-10,17384.626657390254
2024-05-17,17294.856366813714
2024-05-24,17184.701538105153
2024-05-31,17580.93450019187
2024-06-07,17837.091264504048
2024-06-14,17986.70429321255
2024-06-21,18023.950904798367
2024-06-28,18191.85848967065
2024-07-05,18357.461735449746
2024-07-12,18231.44654062128
2024-07-19,17761.357243359165
2024-07-26,17913.107659938534
2024-08-02,17505.3694913955
2024-08-09,18244.969589628778
2024-08-16,18348.885389325646
2024-08-23,18419.14918153197
2024-08-30,18130.83060397287
2024-09-06,18443.559099135357
2024-09-13,18835.795537517526
2024-09-20,18937.248291403706
2024-09-27,18789.00797274535
2024-10-04,19063.98488040267
2024-10-11,19269.800698371426
2024-10-18,19166.892789387046
2024-10-25,18816.14269918701
2024-11-01,19708.571183002998
2024-11-08,19633.789402163166
2024-11-15,19644.375346333647
2024-11-22,19815.116979732877
2024-11-29,20074.210848882074
2024-12-06,19997.112362191852
2024-12-13,19393.88667907537
2024-12-20,19965.148417060267
2024-12-27,19410.688979869326
2025-01-03,19571.710342102673
2025-01-10,19643.09538696257
2025-01-17,20244.36712244011
2025-01-24,20087.98947753856
2025-01-31,20130.489899811786
2025-02-07,20243.703439803252
2025-02-14,20265.2834311321
2025-02-21,19424.300657303495
2025-02-28,19014.598235490517
2025-03-07,18307.747371471567
2025-03-14,18774.88513601325
2025-03-21,18884.31238717271
2025-03-28,17872.629202468903
2025-04-04,17469.023591959714
2025-04-11,17529.96284923083
2025-04-18,18205.305277008712
2025-04-25,18597.591182419714
2025-05-02,18817.04547246325
2025-05-09,19662.890443001
2025-05-16,19417.4618405672
2025-05-23,19649.237543042807
2025-05-30,19749.13826889932
2025-06-06,20105.45958322179
2025-06-13,19895.329828113467
2025-06-20,20436.1013262008
2025-06-27,20885.991586689022
2025-07-04,20902.023026283652
2025-07-11,20976.167919127245
2025-07-18,21189.257451460802
2025-07-25,21111.10366815545
2025-08-01,21116.78000971415
2025-08-08,21540.95359858729
2025-08-15,21226.99873333496
2025-08-22,21673.547908250686
2025-08-29,21680.225957143277
2025-09-05,21964.459382571164
2025-09-12,22119.09743695872
2025-09-19,22039.42048139052
2025-09-26,22413.523131452617
2025-10-03,22478.500134952305
2025-10-10,22126.162977577176
2025-10-17,22498.596115416127
2025-10-24,22768.87777758662
2025-10-31,22450.031859858325
2025-11-07,22507.97423963258
2025-11-14,21854.54570562817
2025-11-21,22763.85275190757
2025-11-28,22921.598984606862
2025-12-05,23081.69077892337
2025-12-12,22656.342348115424
2025-12-19,23190.540914746434
2025-12-26,22906.361078599784
